career_name,top_skills,avg_salary,salary_p25,salary_p75,salary_range,demand_score,locations,postings_count,skills_count
finance intern,database management microsoft office budgeting communication interpersonal skills problem solving time management detail oriented teamwork adaptability excel financial reporting data analysis financial management systems report building data entry,180000.0,180000.0,180000.0,180000-180000,0.0293,remote,1,1
finance investor relations intern summer 2024,communication teamwork problem solving organizational skills leadership adaptability financial modeling data analytics project management market analysis presentation preparation reporting microsoft excel financial reporting,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance leader - corporate development,financial analysis financial oversight project management communication teamwork problem solving independence integrity accountability m a valuation modeling fp a oversight business intelligence applications scenario analysis valuation concepts and methods market evaluation collaboration curiosity adaptability creativity,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance learning advisor,finance training content development employee development programs powerpoint excel word business processes financial concepts learning solutions communication teamwork organizational skills time management presentation skills relationship building influencing skills problem solving ownership adaptability positive attitude collaboration active listening innovation ms o365 sharepoint teams learning metrics,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance manager,"financial modeling financial analysis microsoft excel data analysis reporting forecasting accounting financial services problem solving communication analytical thinking attention to detail innovation teamwork,financial management accounting financial reporting budgeting quickbooks microsoft office data analysis audit coordination policy development vendor management teamwork communication attention to detail self-motivation organizational skills confidentiality analytical thinking strategic thinking,financial management financial modeling data analysis forecasting excel powerpoint oracle hyperion interpersonal skills collaboration problem solving adaptability leadership communication intellectual curiosity results-driven,accounting finance excel powerpoint forecasting financial reporting budgeting gaap data analysis multi-tasking communication analytical thinking presentation skills organizational skills flexibility team collaboration problem solving time management tm1 sap ifrs royalty payments headcount reporting,budgeting forecasting financial analysis financial reporting erp systems oracle sap advanced excel accounting principles performance indicators communication presentation skills leadership collaboration analytical thinking strategic thinking problem solving financial planning,headcount forecasting oracle hyperion essbase data management quantitative analysis forecasting financial reporting presentation skills communication collaboration organizational skills attention to detail problem-solving interpersonal skills influencing others proactive approach big picture thinking financial modeling workday business case development,financial analysis budget management financial reporting accounting software microsoft excel cash flow management accounts payable analytical skills communication skills leadership team management attention to detail problem solving collaboration risk management cpa certification payroll management,financial analysis cash flow management bank reconciliations financial reporting accounting information systems compliance process improvement sales reporting communication teamwork problem solving initiative adaptability manufacturing finance experience cpa,accounting financial reporting financial analysis cash management accounts receivable accounts payable tax management risk management financial compliance investment analysis gaap cpa communication leadership analytical thinking strategic thinking collaboration problem solving team management ethical standards budgeting financial planning financial software cost control ifrs erp systems excel financial modeling cfa ca confidentiality,financial analysis budgeting reporting microsoft excel accounting software data management systems communication interpersonal skills teamwork organizational skills problem-solving independence adaptability attention to detail grant accounting compliance accounts payables oversight financial modeling gaap annual audit preparation customer service time management,financial strategies data analysis financial reporting budget management forecasting cost control business partnership decision making detail-oriented analytical skills actuarial services microsoft office suite healthcare financial management,finance accounting financial analysis risk management internal controls data analytics performance management operational excellence business planning forecasting leadership communication teamwork problem solving strategic thinking adaptability collaboration decision making",223500.0,223500.0,223500.0,0-0,0.3644,,15,12
finance manager buf vision medcee,financial leadership financial analysis project management communication interpersonal skills teamwork problem solving time management adaptability leadership strategic thinking collaboration p l management budget planning financial reporting us gaap accounting sarbanes-oxley compliance internal controls business case development cultural awareness,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance manager ops finance ipat,financial analysis strategic planning data analytics automation cash flow management budgeting data interpretation leadership collaboration problem solving communication adaptability critical thinking continuous learning risk management working capital management financial modeling sql ms access oracle sap variance analysis,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance manager saas,operational finance financial analysis budget preparation entrepreneurial mentality communication problem solving analytical thinking collaboration fp a saas industry experience degree in finance degree in accounting advanced excel m a due diligence recurring revenue models,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance manager top secret clearance required,financial management program management financial reporting financial tools and systems communication teamwork problem solving interpersonal skills attention to detail analytical thinking adaptability leadership budgeting contract administration statistical analysis earned value management system evms government financial systems military interdepartmental purchase requests miprs financial forecasting program and budget submissions top secret clearance pmp certification,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance manager us,financial analysis auditing accounting strategic planning performance metrics business case development communication relationship management teamwork problem solving leadership adaptability customer focus data visualization financial modeling advanced analytics risk management innovative thinking influencing mentorship,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance manager ww ops finance - trans support,financial reporting financial modeling data analysis advanced excel budgeting forecasting financial systems business intelligence communication collaboration problem solving time management adaptability influencing self-development multi-tasking leadership sql data mining,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance manager/director - receivables order to cash specialist,financial analysis financial reporting accounting principles microsoft excel team leadership team development receivables management order to cash o2c process record to report r2r process financial systems erp platforms sap oracle,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance product data owner,data management data analysis data governance financial products knowledge excel ms office data quality remediation presentation skills communication problem solving critical thinking relationship management self-motivation team collaboration project management mentoring adaptability jira process mapping data lineage data quality tools,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance project coordinator,project management financial analysis microsoft office suite process improvement documentation financial reporting data analysis communication time management collaboration problem solving flexibility relationship building negotiation attention to detail business systems knowledge,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance project leader,"project management project management tools budget management communication leadership critical thinking problem solving time management detail-oriented project management frameworks change management business requirement documents quality assurance negotiation,project management project management tools business rules quality review change management resource management communication stakeholder management planning execution problem solving team coordination project management frameworks debt placement criteria customer service",223500.0,223500.0,223500.0,0-0,0.0586,,2,2
finance project manager,"microsoft excel financial reporting accounting concepts financial modeling communication problem solving team leadership attention to detail time management analytical skills collaboration organizational skills project management pmp certification sharepoint grants management federal regulations technical reporting,analytical skills attention to detail communication collaboration basel 3 endgame regulation basel 3 rules crr3 capital requirements regulation 3 credit risk knowledge policy writing",223500.0,223500.0,223500.0,0-0,0.0586,,2,2
finance sales manager - remote,financial training finance relationship management verbal communication written communication travel management teamwork problem solving adaptability time management presentation skills strategic thinking lease training secured transactions deal pricing credit understanding consultative selling solution selling equipment finance negotiation customer service,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance senior director firm client service,financial management budgeting financial analysis p l management reporting data analysis strategic planning performance metrics leadership communication collaboration problem solving adaptability team development influencing forecasting cost analysis m a activity creativity change management storytelling,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance specialist,financial analysis financial reporting accounts payable accounts receivable accounting principles microsoft excel tax regulations analytical skills communication attention to detail independence collaboration financial modeling financial analysis software cpa certification,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance specialist - 1771249,financial reporting data analysis communication organizational skills time management collaboration problem solving accounts receivable billing accounts payable microsoft office excel tabs3,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance specialist - channel customer marketing,sap accounting invoicing data analysis organizational skills problem solving attention to detail communication teamwork self-starter ability to work under pressure time management excel,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance supervisor/manager - healthcare,financial reporting financial analysis erp systems cash flow management bank reconciliation report preparation leadership communication problem solving attention to detail analytical thinking collaboration sop development sql data mining risk management healthcare finance contract interpretation claims analysis medical terminology reimbursement methodologies team management,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
finance support manager,finance accounting forecasting budget management financial operations leadership development fp a data analysis communication team collaboration adaptability problem solving ambition geographical mobility workforce management,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
financial analyst global functions finance,financial planning and analysis fp a data analysis reporting solutions budgeting forecasting variance analytics business modeling data manipulation automation problem solving communication teamwork strategic thinking influencing adaptability analytical thinking collaboration sql data infrastructure ownership,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
financial analyst motion picture finance,financial analysis budgeting accounting knowledge ms excel variance reconciliation p l analysis problem solving communication initiative cross-functional teamwork independence interpersonal skills project management cash forecasting sap knowledge film models maintenance ad hoc analysis,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
financial data analyst,,37350000.0,37350000.0,37350000.0,37350000-37350000,0.0,us,0,0
financial services risk management structured finance - transactions manager,project management regulation compliance leadership relationship building communication teamwork analytical skills problem solving mentoring flexibility structured finance valuation fixed income securities cash flow modeling microsoft excel bloomberg intex moody s wall street analytics citigroup yieldbook pricing tools integrity,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
financial services senior associate/counsel aviation finance,financing transactions legal representation academic performance interpersonal skills client focus problem solving communication strategic thinking adaptability aviation finance commercial aircraft leasing purchase and sale transactions domestic transactions cross-border transactions,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
financial systems administrator information technology,data analysis system implementation reporting tools project management security measures leadership communication teamwork analytical skills interpersonal skills proactive approach continuous learning financial management software database management financial regulations erp systems budget management data synchronization financial systems integration deltek costpoint sap concur quickbooks cultural sensitivity,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
fine jewelry sales associate - full time - crabtree,sales experience customer service inventory management computer skills cash handling interpersonal communication team collaboration customer relationship building problem solving time management attention to detail professionalism fine jewelry knowledge diamond testing merchandising repair skills gemstone identification adaptability,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
fire engineer fresher,,600000.0,600000.0,600000.0,600000-600000,0.0,kochi kerala,0,0
fixed-term appointment un women human resources business partner,recruitment and selection benefits administration hr systems implementation data analysis training and development effective communication interpersonal skills team leadership accountability hr strategy and policy development performance management contract management workforce planning knowledge of un staff regulations stakeholder engagement creative problem solving cultural sensitivity negotiation skills change management inclusive collaboration,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
fleet solutions sales manager,sales experience solutions-based selling strategic customer relationship management time management business acumen negotiation skills account management data analysis financial acumen customer service orientation leadership by influence effective collaboration organizational skills problem solving communication b2b sales,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
flutter developer,,223500.0,223500.0,223500.0,0-0,0.6656,,155,0
flutter developer intern,,451650.30000000005,451650.30000000005,451650.30000000005,451650-451650,0.0,remote,0,0
food beverage business development manager,sales business development project management food and beverage industry knowledge service excellence data analysis communication initiative teamwork problem solving leadership entrepreneurial mindset relationship building adaptability supply chain management consultative selling risk management,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
food service sales representative,sales customer relationship management lead generation multitasking problem solving communication presentation skills initiative goal-oriented competitive extroverted personality adaptability food service knowledge competitive analysis energetic equanimity under stress,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
for fresher it sales,,120000.53,120000.53,120000.53,120000-120000,0.0,madurai tamil nadu,0,0
fractional finance consultant,finance accounting financial oversight business operations financial recommendations supervision project management communication commitment partnership,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
freelance content writer,,108000.0,108000.0,108000.0,108000-108000,0.0,remote,0,0
freelance contributor,,42000.0,42000.0,42000.0,42000-42000,0.0,remote,0,0
freelance recruiter,,504000.0,504000.0,504000.0,504000-504000,0.0,remote,0,0
fresh graduate,,235500.0,233250.0,237750.0,233250-237750,0.0,"noida uttar pradesh,talegaon dabhade pune maharashtra",0,0
fresher - malayalam,,209236.44000000003,209236.44000000003,209236.44000000003,209236-209236,0.0,coimbatore tamil nadu,0,0
fresher data entry operator deo,,193200.0,193200.0,193200.0,193200-193200,0.0,jnu new campus delhi delhi,0,0
fresher full stack developer,,132000.0,132000.0,132000.0,132000-132000,0.0,kottayam kerala,0,0
fresher graduate any field,,235000.0,235000.0,235000.0,235000-235000,0.0,jagnath plot rajkot gujarat,0,0
fresher hiring for bde role,,375000.0,375000.0,375000.0,375000-375000,0.0,chennai tamil nadu,0,0
fresher it software training in infopark,,144000.0,144000.0,144000.0,144000-144000,0.0,kochi kerala,0,0
fresher iti diploma or any degree,,162000.0,162000.0,162000.0,162000-162000,0.0,erode tamil nadu,0,0
fresher kyc verification executive,,240000.0,240000.0,240000.0,240000-240000,0.0,indraprastha h o delhi delhi,0,0
fresher mern stack developer,,138000.0,138000.0,138000.0,138000-138000,0.0,kochi kerala,0,0
fresher opening for manual testing,,242125.5,242125.5,242125.5,242125-242125,0.0,ashapur varanasi uttar pradesh,0,0
fresher operations analyst construction,,575000.0,575000.0,575000.0,575000-575000,0.0,bengaluru karnataka,0,0
fresher required operations,,210000.0,210000.0,210000.0,210000-210000,0.0,noida uttar pradesh,0,0
fresher software engineer at technopark,,126000.0,126000.0,126000.0,126000-126000,0.0,thiruvananthapuram kerala,0,0
fresher software tester internship,,150000.0,150000.0,150000.0,150000-150000,0.0,kochi kerala,0,0
fresher-bcom,,210000.0,210000.0,210000.0,210000-210000,0.0,delhi delhi,0,0
freshers,,102000.0,102000.0,102000.0,102000-102000,0.0,aruppukkottai tamil nadu,0,0
freshers - content writter,,150000.0,150000.0,150000.0,150000-150000,0.0,chinna chokkikulam madurai tamil nadu,0,0
freshers - delhi,,750000.0,750000.0,750000.0,750000-750000,0.0,delhi delhi,0,0
freshers and experience can apply,,282000.0,282000.0,282000.0,282000-282000,0.0,patan gujarat,0,0
freshers walk-in autocad,,210000.0,210000.0,210000.0,210000-210000,0.0,yelahanka bengaluru karnataka,0,0
front office,,270000.0,270000.0,270000.0,270000-270000,0.0,"chamba himachal pradesh,kochi kerala",0,0
front office executive,,192000.0,192000.0,192000.0,192000-192000,0.0,sholinghur tamil nadu,0,0
front office executives and interns,,264000.0,264000.0,264000.0,264000-264000,0.0,kottayam kerala,0,0
front office manager,,180000.0,180000.0,180000.0,180000-180000,0.0,pathanamthitta kerala,0,0
ft deli bakery sales associate,customer service merchandising communication interpersonal skills teamwork problem solving organizational skills adaptability attention to detail food safety sanitation inventory management computer skills technical knowledge food handling enthusiasm,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
full stack developer,,223500.0,223500.0,223500.0,0-0,0.5926,,138,0
full stack development intern,,300000.0,300000.0,300000.0,300000-300000,0.0,lucknow uttar pradesh,0,0
full time sales lead - pandora at mall of america,sales experience customer service microsoft office 365 analytical thinking time management communication teamwork leadership relationship building problem solving adaptability passion for brand results-oriented pos systems kwi applicant tracking systems,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
fundamental fixed income ffi - director leveraged finance research,analytical skills interpersonal skills mentoring communication relationship management teamwork leadership financial modeling bloomberg excel powerpoint aladdin platform credit risk assessment high yield bonds leveraged loans capital markets,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
game tester,,114000.0,114000.0,114000.0,114000-114000,0.0,mira road mumbai maharashtra,0,0
general engineer trainee,,222000.0,222000.0,222000.0,222000-222000,0.0,erode tamil nadu,0,0
general manager,,240000.0,240000.0,240000.0,240000-240000,0.0,erode tamil nadu,0,0
germany physiotherapist,,2400000.0,2400000.0,2400000.0,2400000-2400000,0.0,noida uttar pradesh,0,0
get graduate engineer trainee,,160000.0,135000.0,185000.0,135000-185000,0.0,"bengaluru karnataka,erode tamil nadu",0,0
global business development partner - 100 remote,strategic marketing business development team building self-motivation ambition leadership mentoring training personal growth commitment independence advertising branding online event engagement computer proficiency internet connectivity passion for helping others,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
global investment research regional banks and consumer finance associate,financial modeling data analysis investment research finance analytical skills communication initiative resourcefulness excel accounting valuation teamwork attention to detail multi-tasking,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
google ads executive fresher/experience,,540000.0,480000.0,600000.0,480000-600000,0.0,ambli ahmedabad gujarat,0,0
google ads specialist,,550000.0,550000.0,550000.0,550000-550000,0.0,ahmedabad gujarat,0,0
graduate student,,150000.0,150000.0,150000.0,150000-150000,0.0,kochi kerala,0,0
graduate trainee,,159000.0,133500.0,184500.0,133500-184500,0.0,"bengaluru karnataka,kochi kerala",0,0
graduate trainee full time,,400000.0,400000.0,400000.0,400000-400000,0.0,goa,0,0
graphic designer,,115185.72,115185.72,115185.72,115185-115185,0.0,palghat kerala,0,0
graphic designer - amazon products lifestyle infographics,,210000.0,210000.0,210000.0,210000-210000,0.0,thiruvananthapuram kerala,0,0
graphic designer internship,,102000.0,102000.0,102000.0,102000-102000,0.0,remote,0,0
graphic designer vesu surat,,212500.0,212500.0,212500.0,212500-212500,0.0,athwa surat gujarat,0,0
graphic designer video editor,,90000.0,90000.0,90000.0,90000-90000,0.0,remote,0,0
greenpeace ngo - fundraiser,,342000.0,342000.0,342000.0,342000-342000,0.0,bengaluru karnataka,0,0
h m retail sales associate,customer service merchandising cash register operation stock management product knowledge safety procedures teamwork communication multitasking positive attitude creativity adaptability willingness to learn lifting 20 pounds flexible work schedule,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
hairdresser,,240000.0,240000.0,240000.0,240000-240000,0.0,rajarajeshwari nagar bengaluru karnataka,0,0
hardware trainee - female candidates only,,96000.0,96000.0,96000.0,96000-96000,0.0,erode tamil nadu,0,0
head of business development investor relations,market analysis performance analysis business development presentation skills content development communication interpersonal skills attention to detail process-driven approach cultural acumen trust building listening skills responsibility adaptability capital raising investor relations crm management investment strategy legal negotiation multilingual proficiency intellectual curiosity,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
head of corporate finance senior director / director,budgeting project management leadership communication interpersonal skills problem solving analytical skills teamwork adaptability strategic thinking financial planning forecasting financial analysis financial modeling gaap financial reporting anaplan excel netsuite salesforce tableau critical reasoning influencing,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
head of data,,19297500.0,19193750.0,19401250.0,19193750-19401250,0.0,"ru,us",0,0
head of data science,,8092500.0,7573750.0,8611250.0,7573750-8611250,0.0,"ru,us",0,0
head of sales,communication strategic thinking relationship building adaptability teamwork sales leadership business development stakeholder management negotiation deal-closing budget management remote team management corporate sales market strategy multilingual communication cultural awareness inspiration performance motivation,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
health information technology specialist - oncology,problem solving communication teamwork flexibility positive attitude customer service ehr software clinical informatics interoperability software build troubleshooting needs assessment epic beacon cerner iknowmed oncoemr tech presentation skills,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
healthcare information technology consultant,it management vendor implementations client integrations development projects technical skills process development risk mitigation web tools organizational skills deadline orientation motivational skills problem solving negotiation skills self-starter teamwork communication hipaa compliance,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
helper - male only,,120000.0,120000.0,120000.0,120000-120000,0.0,coimbatore tamil nadu,0,0
hershey s part-time territory sales associate ontario ca,sales merchandising relationship building flexibility adaptability communication time management problem solving tablet technology valid driver s license personal vehicle auto insurance lifting 10-40 lbs bending and kneeling wireless internet access reporting,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
high school teacher it,,180000.0,180000.0,180000.0,180000-180000,0.0,himayatnagar hyderabad telangana,0,0
hindi content writer intern,,120000.0,120000.0,120000.0,120000-120000,0.0,remote,0,0
hindi speaking receptionist,,180000.0,180000.0,180000.0,180000-180000,0.0,anna nagar western extn chennai tamil nadu,0,0
hindi tele sale voice process jayanagar bangalore- only fresher,,258000.0,258000.0,258000.0,258000-258000,0.0,jayanagar bengaluru karnataka,0,0
hiring freshers ar trainee -rcm,,178986.96,178986.96,178986.96,178986-178986,0.0,kochi kerala,0,0
hiring freshers for bangalore location budget upto 45k inhand,,480000.0,480000.0,480000.0,480000-480000,0.0,bengaluru karnataka,0,0
hiring graduates,,133200.0,133200.0,133200.0,133200-133200,0.0,tiruchchirappalli tamil nadu,0,0
hiring mba freshers,,138000.0,138000.0,138000.0,138000-138000,0.0,kochi kerala,0,0
home care sales consultant,sales communication problem-solving relationship-building healthcare knowledge technology adaptation interpersonal skills decision-making teamwork independence adaptability community resources knowledge bachelor s degree driver s license,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
hotel management trainee,,318000.0,309000.0,327000.0,309000-327000,0.0,"kottayam kerala,thiruvananthapuram kerala",0,0
hotel operations manager,,210000.0,210000.0,210000.0,210000-210000,0.0,varkkallai kerala,0,0
hr assistant,,153000.0,148500.0,157500.0,148500-157500,0.0,"madurai tamil nadu,thrissur kerala",0,0
hr co-ordinator,,162000.0,162000.0,162000.0,162000-162000,0.0,thrissur kerala,0,0
hr executive fresher,,111682.56,111682.56,111682.56,111682-111682,0.0,remote,0,0
hr intern,,120172.0,102000.0,153258.0,102000-153258,0.0,remote,0,0
hr internship,,90000.0,90000.0,90000.0,90000-90000,0.0,bengaluru karnataka,0,0
hr recruiter,,156000.0,153000.0,159000.0,153000-159000,0.0,remote,0,0
hr recruiter it/non it freshers,,250000.0,250000.0,250000.0,250000-250000,0.0,bengaluru karnataka,0,0
hr recruitment officer,,270000.0,270000.0,270000.0,270000-270000,0.0,tiruppur tamil nadu,0,0
hr trainee,,1202000.0,153000.0,1749000.0,153000-1749000,0.0,"calicut kerala,edappal kerala,pune maharashtra",0,0
hubli - fresh graduates for english ad design,,216900.0,216900.0,216900.0,216900-216900,0.0,hubli karnataka,0,0
human resource,,550000.0,550000.0,550000.0,550000-550000,0.0,lucknow uttar pradesh,0,0
human resource administrator,hr knowledge hris software onboarding recruiting administrative tasks reporting attention to detail communication teamwork self-motivation organization problem solving leave management fmla dbl pfl local state and federal legal requirements positive attitude,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
human resource adminstrator,ms office clerical support project coordination communication teamwork problem solving attention to detail interpersonal skills organizational skills outlook filing system management customer service positive attitude,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
human resource business partner mansfield,human resources management employee relations legal compliance data analysis talent acquisition performance management coaching and mentoring organizational psychology training and development payroll management benefits administration communication interpersonal skills collaboration problem solving initiative agility resourcefulness flexibility trust building change management eeoc programs aap programs canadian hr practices,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
human resource coordinator,recruiting employee relations performance management onboarding offboarding administrative support job descriptions interview scheduling confidentiality communication organizational skills attention to detail relationship building problem solving applicant tracking system,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
human resource generalist,"ms office suite workday adp or similar payroll system recruitment onboarding employee relations benefits administration data analysis communication interpersonal skills teamwork problem solving initiative resourcefulness results orientation listening skills adaptability leadership development employment law legal compliance safety guidelines fmla ada flsa osha confidentiality flexibility consultative approach,payroll benefits administration hris employment law analytical skills problem-solving compliance training management data entry communication interpersonal skills negotiation conflict resolution integrity teamwork attention to detail willingness to learn erisa regulations,employee relations performance management development ms word ms excel bachelor s degree interpersonal skills teamwork organizational skills attention to detail writing skills verbal communication time management relationship-building professionalism hr policies and procedures regulatory compliance onboarding terminations immigration compliance ms outlook hris workday ats professional hr certification presentation skills integrity confidentiality",223500.0,223500.0,223500.0,0-0,0.0879,,3,3
human resource lead,on-boarding benefits administration employee relations payroll processing hr compliance computer proficiency communication team leadership confidentiality problem solving attention to detail interpersonal skills recruitment performance appraisal data accuracy scheduling cash handling sales audit time management,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
human resource manager,"human resource management employee benefits administration recruitment microsoft office suite strategic planning analytical thinking compliance management onboarding processes communication problem solving critical thinking innovative thinking team leadership interpersonal skills employment law payroll processing,hr management onboarding employee relations data analysis ms office workforce planning policy management performance management report generation interpersonal skills communication organizational skills detail-oriented multi-tasking results-oriented problem solving",223500.0,223500.0,223500.0,0-0,0.0586,,2,2
human resource specialist,hris payroll management background checks onboarding employment regulations multi-tasking reporting communication judgment decision making organizational skills teamwork confidentiality problem solving microsoft office,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
human resources administrative assistant,administrative skills hr processes computer proficiency onboarding communication teamwork problem solving flexibility organizational skills interpersonal skills payroll administration osha reporting leave administration employee engagement programs coaching,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
human resources administrative associate,local recruiting office management ms office clerical tasks time management multi-tasking communication interpersonal skills customer service budget management cash flow projection compliance event planning travel planning,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
human resources administrator,"employee database management attendance record maintenance policy formulation job posting candidate shortlisting interview scheduling training session coordination interpersonal skills communication skills critical thinking problem solving orientation coordination,human resources employment law payroll processing microsoft office suite hris compliance tracking documentation communication interpersonal skills conflict resolution organizational skills time management analytical skills problem solving integrity professionalism confidentiality attention to detail talent management systems background checks performance management safety training anti-harassment training negotiation delegation,hris hr information systems recruiting google suite project management analytical skills policy development employee engagement programs communication interpersonal skills professionalism adaptability decision-making problem-solving attention to detail time management teamwork onboarding documentation management,hr management onboarding employee relations documentation microsoft office suite process improvement compliance background verification communication interpersonal skills organizational skills problem solving attention to detail initiative integrity professionalism confidentiality leave management office management systems flexibility",223500.0,223500.0,223500.0,0-0,0.1172,,4,4
human resources advisor,communication teamwork conflict resolution problem solving organizational skills adaptability ms office ms excel successfactors hris human resources certification phr shrm-cp data analysis job evaluation process,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
human resources analyst,"global payroll experience global hr experience microsoft office word excel outlook powerpoint onbase hr policies,procedures confidentiality communication detail-oriented organizational skills customer service independence prioritization multi-tasking time management tact and diplomacy analytical skills visio oracle workforce now adobe acrobat",223500.0,223500.0,223500.0,0-0,0.0543,,1,2
human resources and general affairs manager,human resources management employee relations compensation and benefits administration performance management systems recruiting and hiring practices employment law compliance hris and talent management systems microsoft office suite organizational development analytical skills communication skills interpersonal skills negotiation skills conflict resolution skills organizational skills problem solving integrity and professionalism attention to detail prioritization and delegation leadership,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
human resources assistant,"spanish,human resources microsoft office organizational skills clerical skills communication customer service proactive problem solving professional attitude team support e-verify system bilingual english,hris payroll software time management communication skills interpersonal skills problem solving organizational skills self-motivation attention to detail customer focus planning organizing critical thinking microsoft office suite analytical skills mathematical skills bilingual chinese,hr rules and regulations office clerical work microsoft word microsoft excel internet applications email communication personnel policies administrative support communication collaboration problem solving customer service supervision attention to detail,human resources administration recruiting microsoft office clerical functions office administration independent judgment communication teamwork problem solving attention to detail customer service payroll administration employee benefits compliance performance management jd edwards kronos,attention to detail technology proficiency document preparation scheduling meetings file organization professional communication collaboration time management confidentiality prioritization problem solving data entry sharepoint paycom ats systems auditing data spanish language proficiency,microsoft word microsoft excel background checks employee onboarding data accuracy verbal communication written communication attention to detail customer service interpersonal skills time management independent work,human resources administration payroll administration employee benefits performance management recruiting kronos clerical functions office administration independent judgment communication teamwork problem solving attention to detail customer service compliance microsoft office jd edwards",223500.0,223500.0,223500.0,0-0,0.2301,,7,8
human resources associate,"data entry microsoft word microsoft excel hr management system benefit enrollment processing employee file management clerical duties customer service bilingual english,spanish communication organization time management problem solving presentation skills initiative professionalism confidentiality dependability adaptability microsoft powerpoint invoice reconciliation office supply procurement cobra packet preparation",223500.0,223500.0,223500.0,0-0,0.0543,,1,2
